City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-0.01,73,8,5.48,SJ,1685112529
1,turbat,26.0023,63.044,35.99,41,4,7.08,PK,1685112529
2,albany,42.6001,-73.9662,17.93,45,0,1.34,US,1685112251
3,port elizabeth,-33.918,25.5701,17.83,58,0,7.2,ZA,1685112529
4,las tablas,7.7667,-80.2833,26.31,82,100,1.96,PA,1685112529
5,tuyum,9.9769,122.5582,27.55,82,58,2.55,PH,1685112529
6,mount pleasant,32.7941,-79.8626,17.22,76,75,5.66,US,1685112530
7,santana,-0.0583,-51.1817,31.1,74,75,4.63,BR,1685112530
8,masina,-4.3836,15.3914,28.19,78,75,2.06,CD,1685112494
9,czarnkow,52.9021,16.5641,18.24,40,10,5.75,PL,1685112447
10,edinburgh of the seven seas,-37.0676,-12.3116,15.89,84,55,11.67,SH,1685112530
11,porbandar,21.6422,69.6093,29.99,79,40,5.14,IN,1685112530
12,waitangi,-43.9535,-176.5597,14.34,82,14,4.02,NZ,1685112530
13,mata-utu,-13.2816,-176.1745,26.8,82,100,8.52,WF,1685112530
14,thompson,55.7435,-97.8558,4.09,100,100,6.17,CA,1685112530
15,bredasdorp,-34.5322,20.0403,14.64,58,30,1.86,ZA,1685112530
16,college,64.8569,-147.8028,13.18,83,75,3.09,US,1685112531
17,letlhakane,-21.4167,25.5833,27.35,21,0,3.08,BW,1685112531
18,adamstown,-25.066,-130.1015,22.45,69,0,2.66,PN,1685112531
19,mimizan,44.2006,-1.2289,27.18,56,7,3.25,FR,1685112531
20,papatowai,-46.5619,169.4708,10.41,63,12,6.64,NZ,1685112531
21,arraial do cabo,-22.9661,-42.0278,25.98,65,40,10.29,BR,1685112531
22,vorkuta,67.5,64.0,22.59,49,47,9.08,RU,1685112531
23,kudahuvadhoo,2.6708,72.8944,28.53,73,13,3.76,MV,1685112531
24,bethel,41.3712,-73.414,20.11,42,0,4.47,US,1685112531
25,thunder bay,48.4001,-89.3168,11.99,54,20,1.03,CA,1685112273
26,badger,64.8,-147.5333,13.14,81,100,3.09,US,1685112532
27,klyuchi,52.2667,79.1667,13.5,37,0,4.97,RU,1685112532
28,keflavik,64.0049,-22.5624,8.95,100,100,10.8,IS,1685112532
29,sumbe,-11.2061,13.8437,26.32,75,3,3.78,AO,1685112532
30,opuwo,-18.0607,13.84,29.86,15,0,4.69,NA,1685112532
31,collie,-33.3667,116.15,6.67,80,0,0.63,AU,1685112532
32,blackmans bay,-43.0167,147.3167,9.74,80,32,3.55,AU,1685112532
